School Name,Address
SAN PASCUAL ES STEAM MAG,815 SAN PASCUAL AVE LOS ANGELES 90042
WILMINGTON MS STEAM,1700 GULF AVE WILMINGTON 90744
MILLIKAN STEM MAG,5041 SUNNYSLOPE AVE SHERMAN OAKS 91423
GALA,1067 WEST BLVD LOS ANGELES 90019
EAST VALLEY SKILLS CTR,8601 ARLETA AVE SUN VALLEY 91352
VISTA DEL VALLE AC DL,12411 N BROMONT AVE LOS ANGELES 91340
PARMELEE AVE EL DL SP,1338 E 76TH PL LOS ANGELES 90001
OCHOA LC DLC SP,5057 LIVE OAK ST CUDAHY 90201
WILTON PL EL DLC KO,745 S WILTON PL LOS ANGELES 90005
MILES AVE EL DLC SP,6020 MILES AVE HUNTINGTON PARK 90255
MICHELTORENA ST EL DL,1511 MICHELTORENA LOS ANGELES 90026
MAYBERRY ST EL DL SP,2414 MAYBERRY ST LOS ANGELES 90026
GARDENA EL DLC SP,647 W GARDENA BLVD GARDENA 90247
BACA ARTS ACAD DLC SP,1536 E 89TH ST LOS ANGELES 90002
KIM EL DLC KO,255 SOUTH OXFORD AVE LOS ANGELES 90004
FLORENCE AVE EL DL SP,7211 BELL AVE LOS ANGELES 90001
PORTER RANCH SCH DLC,12450 MASON AVE PORTER RANCH 91326
RFK AMBSDR GLBL ED SP,3400 WILSHIRE BLVD LOS ANGELES 90010
MAIN ST EL DLC SP,129 E 53RD ST LOS ANGELES 90011
SANTANA ARTS ACAD DLC,9301 N COLUMBUS AVE LOS ANGELES 91343
CASTELAR ST EL DL MA,840 YALE ST LOS ANGELES 90012
28TH ST EL DLC SP,2807 STANFORD AVE LOS ANGELES 90011
PRESIDENT AVE EL DLC,1465 W 243RD ST HARBOR CITY 90710
GRAND VIEW EL DL,3951 GRAND VIEW BLVD LOS ANGELES 90066
MACK EL DLC SP,3020 S CATALINA ST LOS ANGELES 90007
BRADDOCK DR EL DL MA,4711 INGLEWOOD BL CULVER CITY 90230
ALDAMA EL DLC SP,632 N AVE 50 LOS ANGELES 90042
MIRAMONTE EL DLC SP,1400 E 68TH ST LOS ANGELES 90001
KINGSLEY EL DLC SP,5200 W VIRGINIA AVE LOS ANGELES 90029
HUNTINGTON DR EL DLC,4435 N HUNTINGTON DR LOS ANGELES 90062
RFK UCLA COMM SCH DLC,3400 WILSHIRE BLVD LOS ANGELES 90010
75TH ST EL DLC SP,142 W 75TH ST LOS ANGELES 90003
BROADWAY EL DLC MA,1015 LINCOLN BLVD VENICE 90291
EUCLID AVE EL DLC SP,806 EUCLID AVE LOS ANGELES 90023
MADISON EL DLC SP,9820 MADISON AVE LOS ANGELES 90280
MACARTHUR PK EL DL SP,2300 W 7TH ST LOS ANGELES 90057
CAHUENGA EL DLC KO,220 S HOBART BLVD LOS ANGELES 90004
ALEXANDER SCS DLC SP,3737 S FIGUEROA ST LOS ANGELES 90011
ROYBAL-ALLARD EL DLC,3232 SATURN AVE HUNTINGTON PARK 90255
FORD BLVD EL DLC SP,1112 S FORD BLVD LOS ANGELES 90022
RICHLAND AVE EL DL FR,11562 RICHLAND AVE LOS ANGELES 90064
WILLOW EL DLC SP,2777 WILLOW PL SOUTH GATE 90280
93RD ST EL DLC SP,330 E 93RD ST LOS ANGELES 90003
GATES ST EL DLC SP,3333 MANITOU AVE LOS ANGELES 90031
ESPERANZA EL DLC SP,680 LITTLE ST LOS ANGELES 90017
QUEEN ANNE PL EL DLC,1212 QUEEN ANNE PL LOS ANGELES 90019
GRIDLEY ST EL DLC SP,1907 EIGHTH ST SAN FERNANDO 91340
3RD ST EL DLC KO,201 S JUNE ST LOS ANGELES 90004
LORETO ST EL DLC SP,3408 ARROYO SECO AVE LOS ANGELES 90065
STONER AVE EL DLC SP,11735 BRADDOCK DR CULVER CITY 90230
ELIZABETH LC DLC AR,4811 ELIZABETH ST CUDAHY 90201
MAGNOLIA AVE EL DL SP,1626 S ORCHARD AV LOS ANGELES 90006
EASTMAN AVE EL DL SP,4112 E OLYMPIC BL LOS ANGELES 90023
HILLCREST DR EL DL SP,4041 HILLCREST DR LOS ANGELES 90008
MEYLER ST EL DLC SP,1123 W 223RD ST TORRANCE 90502
LOGAN ST EL DLC SP,1711 W MONTANA ST LOS ANGELES 90026
CITY TERRACE EL DL MA,4350 CITY TERRACE DR LOS ANGELES 90063
NORMANDIE AVE EL DLC,4505 S RAYMOND AVE LOS ANGELES 90037
WOODLAWN AVE EL DL SP,6314 WOODLAWN AVE BELL 90201
MONTARA AVE EL DL SP,10018 MONTARA AVE SOUTH GATE 90280
DENKER AVE EL DLC KO,1620 W 162ND ST GARDENA 90247
GRATTS LA FOR YS DLC,309 LUCAS AVE LOS ANGELES 90017
FARMDALE EL DLC SP,2660 RUTH SWIGGETT DR LOS ANGELES 90032
SAN FERNANDO EL DL SP,1130 MOTT ST SAN FERNANDO 91340
FERNANGELES EL DL SP,12001 ART ST SUN VALLEY 91352
MOUNTAIN VIEW EL DLC,6410 OLCOTT ST TUJUNGA 91042
COHASSET ST EL DL SP,15810 SATICOY ST VAN NUYS 91406
WILTON PL EL DLC SP,745 S WILTON PL LOS ANGELES 90005
RFK AMBSDR GLBL ED KO,3400 WILSHIRE BLVD LOS ANGELES 90010
KIM EL DLC KO,255 SOUTH OXFORD AVE LOS ANGELES 90004
KIM EL DLC SP,255 SOUTH OXFORD AVE LOS ANGELES 90004
CAHUENGA EL DLC KO,220 S HOBART BLVD LOS ANGELES 90004
CAHUENGA EL DLC SP,220 S HOBART BLVD LOS ANGELES 90004
BROADWAY EL DLC SP,1015 LINCOLN BLVD VENICE 90291
MAGNOLIA AVE EL DL SP,1626 S ORCHARD AV LOS ANGELES 90006
MAGNOLIA AVE EL DL SP,1626 S ORCHARD AV LOS ANGELES 90006
SAN FERNANDO EL DL SP,1130 MOTT ST SAN FERNANDO 91340
