School Name,Address
MONTARA AVE ES,10018 MONTARA AVE SOUTH GATE 90280
SAN MIGUEL ES,9801 SAN MIGUEL AVE SOUTH GATE 90280
BRYSON ES,4470 MISSOURI AVE SOUTH GATE 90280
TWEEDY ES,9515 PINEHURST AVE SOUTH GATE 90280
CLAY MS,12226 S WESTERN AVE LOS ANGELES 90047
CHAPMAN ES,1947 MARINE AVE GARDENA 90249
153RD ST ES,1605 W 153RD ST GARDENA 90247
DENKER ES,1620 W 162ND ST GARDENA 90247
AVALON GARDENS ES,13940 S SAN PEDRO LOS ANGELES 90061
186TH ST ES,1581 W 186TH ST GARDENA 90248
HALLDALE ES,21514 HALLDALE AVE TORRANCE 90501
LOS ANGELES ES,1211 S HOBART BLVD LOS ANGELES 90006
NORWOOD ES,2020 OAK ST LOS ANGELES 90007
METROPOLITAN HS,727 S WILSON ST LOS ANGELES 90021
9TH ST,835 STANFORD AVE LOS ANGELES 90021
UTAH ES,255 GABRIEL GARCIA MARQUEZ ST LOS ANGELES 90033
GRATTS LRNG ACAD FOR YOUNG SCHOLARS,309 LUCAS AVE LOS ANGELES 90017
LINCOLN HS,3501 N BROADWAY LOS ANGELES 90031
MULTNOMAH ES,2101 N INDIANA AVE LOS ANGELES 90032
FARMDALE ES,2660 RUTH SWIGGETT DR LOS ANGELES 90032
EL SERENO ES,3838 ROSEMEAD AVE LOS ANGELES 90032
LORENA ES,1015 S LORENA ST LOS ANGELES 90023
MALABAR ES,3200 E MALABAR ST LOS ANGELES 90063
6TH AVE ES,3109 SIXTH AVE LOS ANGELES 90018
CLOVER ES,11020 CLOVER AVE LOS ANGELES 90034
CASTLE HTS ES,9755 CATTARAUGUS AVE LOS ANGELES 90034
VALLEY VIEW ES,6921 WOODROW WILSON DR LOS ANGELES 90068
MORNINGSIDE ES,576 N MACLAY AVE SAN FERNANDO 91340
VAUGHN NEXT CENT LC,13330 VAUGHN ST SAN FERNANDO 91340
SAN FERNANDO ES,1130 MOTT ST SAN FERNANDO 91340
CHATSWORTH CHRTR,10027 LURLINE AVE CHATSWORTH 91311
SUPERIOR ES,9756 OSO AVE CHATSWORTH 91311
NOBEL MS,9950 TAMPA AVE NORTHRIDGE 91324
KENNEDY HS,11254 GOTHIC AVE GRANADA HILLS 91344
GRANADA ES COMM CHRTR,17170 TRIBUNE ST GRANADA HILLS 91344
HENRY MS,17340 SAN JOSE ST GRANADA HILLS 91344
DEARBORN CHRTR ACAD,9240 WISH AVE NORTHRIDGE 91325
PLUMMER ES,9340 NOBLE AVE NO HOLLYWOOD 91343
VINTAGE MATH/SCI MAG,15848 STARE ST NO HOLLYWOOD 91343
CANTERBURY ES,13670 MONTAGUE ST ARLETA 91331
VENA ES,9377 VENA AVE LOS ANGELES 91331
FERNANGELES ES,12001 ART ST SUN VALLEY 91352
TELFAIR ES,10975 TELFAIR AVE PACOIMA 91331
MACLAY MS,12540 PIERCE AVE PACOIMA 91331
BRAINARD ES,11407 BRAINARD AV LAKE VIEW TERRACE 91342
SUNLAND ES,8350 HILLROSE ST SUNLAND 91040
VERDUGO HILLS HS,10625 PLAINVIEW AVE TUJUNGA 91042
APPERSON ES,10233 WOODWARD AVE SUNLAND 91040
VINEDALE ES,10150 LA TUNA CANYON RD SUN VALLEY 91352
STONEHURST ES,9851 STONEHURST AVE SUN VALLEY 91352
MOUNTAIN VIEW ES,6410 OLCOTT ST TUJUNGA 91042
JUSTICE ST ACAD CHRTR,23350 JUSTICE ST CANOGA PARK 91304
CAPISTRANO ES,8118 CAPISTRANO AVE CANOGA PARK 91304
COLUMBUS MS,22250 ELKWOOD ST CANOGA PARK 91304
CANOGA PARK ES,7438 TOPANGA CANY CANOGA PARK 91303
CANOGA PARK HS,6850 TOPANGA CYN BLVD CANOGA PARK 91303
SUNNY BRAE ES,20620 ARMINTA ST WINNETKA 91306
WINNETKA ES,8240 WINNETKA AVE CANOGA PARK 91306
MELVIN ES,7700 MELVIN AVE RESEDA 91335
CLEVELAND CHRTR,8140 VANALDEN AVE RESEDA 91335
J MILLER CAREER/TRANSITION CTR,8218 VANALDEN AVE RESEDA 91335
NAPA ES,19010 NAPA ST NORTHRIDGE 91324
LIMERICK ES,8530 LIMERICK AVE CANOGA PARK 91306
FULLBRIGHT ES,6940 FULLBRIGHT AVE CANOGA PARK 91306
WELBY WAY CHRTR,23456 WELBY WAY CANOGA PARK 91307
HAYNES CHRTR FOR ENRICHED STUDIES,6624 LOCKHURST DR WEST HILLS 91307
LOCKHURST DR CHRTR,6170 LOCKHURST DR WOODLAND HILLS 91367
POMELO COMM CHRTR,7633 MARCH AVE CANOGA PARK 91304
BLYTHE ES,18730 BLYTHE ST RESEDA 91335
RESEDA ES,7265 AMIGO AVE RESEDA 91335 
